,title,artist,url,participant,playlist_type
14,Dynamite,BANGTANTV,youtube.com/watch?v=HaEYUJ2aRHs&list=PLZEl0b5BNrnGDSDKIuWHRIlIGHF6oZSPw&index=15,EKAS,energizing
15,Tumba,Angelique Kidjo,youtube.com/watch?v=W8yAtNOgYOw&list=PLZEl0b5BNrnGDSDKIuWHRIlIGHF6oZSPw&index=16,EKAS,energizing
16,Vem Menina,Curumin,youtube.com/watch?v=JL5MCznlqbo&list=PLZEl0b5BNrnGDSDKIuWHRIlIGHF6oZSPw&index=17,EKAS,energizing
17,Oasis (2014 - Remaster),John Coltrane,youtube.com/watch?v=_ukbm2w4XII&list=PLZEl0b5BNrnGDSDKIuWHRIlIGHF6oZSPw&index=18,EKAS,energizing
18,Stomp,God's Property,youtube.com/watch?v=rxlHSy3b-jI&list=PLZEl0b5BNrnGDSDKIuWHRIlIGHF6oZSPw&index=19,EKAS,energizing
19,Miss Marlene,Donald Fagen,youtube.com/watch?v=N66vBwv0xtc&list=PLZEl0b5BNrnGDSDKIuWHRIlIGHF6oZSPw&index=20,EKAS,energizing
20,Tame Impala - Patience (Live on Saturday Night Live / 2019),Tame Impala,youtube.com/watch?v=iToe7b_VfWI&list=PLZEl0b5BNrnGDSDKIuWHRIlIGHF6oZSPw&index=21,EKAS,energizing
21,Poolside - Feel Alright (Official Music Video),Poolside,youtube.com/watch?v=bd1GDyHiICU&list=PLZEl0b5BNrnGDSDKIuWHRIlIGHF6oZSPw&index=22,EKAS,energizing
22,Leon Bridges - Bad Bad News (Official Video),Leon Bridges,youtube.com/watch?v=cztfyj1dVgk&list=PLZEl0b5BNrnGDSDKIuWHRIlIGHF6oZSPw&index=23,EKAS,energizing
23,St. Paul & The Broken Bones - Convex (Audio),St Paul and the Broken Bones,youtube.com/watch?v=1JatqabCLx0&list=PLZEl0b5BNrnGDSDKIuWHRIlIGHF6oZSPw&index=24,EKAS,energizing
24,St. Paul & The Broken Bones - LivWithoutU (Audio),St Paul and the Broken Bones,youtube.com/watch?v=JwSfXDHIX_s&list=PLZEl0b5BNrnGDSDKIuWHRIlIGHF6oZSPw&index=25,EKAS,energizing
25,Yo Vine a Disfrutar,Anthony Ramos,youtube.com/watch?v=VTN6ZzlbDJs&list=PLZEl0b5BNrnGDSDKIuWHRIlIGHF6oZSPw&index=26,EKAS,energizing
26,Childish Gambino - Saturday (Guava Island),Jinaki,youtube.com/watch?v=jWTt2iLBdj4&list=PLZEl0b5BNrnGDSDKIuWHRIlIGHF6oZSPw&index=27,EKAS,energizing
27,Afreen - The Hundred Foot Journey .(Soundtrack),Manar,youtube.com/watch?v=qHYD4d4JPFE&list=PLZEl0b5BNrnGDSDKIuWHRIlIGHF6oZSPw&index=28,EKAS,energizing
28,Lovely Day (Studio Rio Version),Studio Rio,youtube.com/watch?v=vHLmx2Psrws&list=PLZEl0b5BNrnGDSDKIuWHRIlIGHF6oZSPw&index=29,EKAS,energizing
29,Tame Impala - Borderline (Live on Saturday Night Live / 2019),Tame Impala,youtube.com/watch?v=hNJOI2dtDZ4&list=PLZEl0b5BNrnGDSDKIuWHRIlIGHF6oZSPw&index=30,EKAS,energizing
30,"Live From Daryl's House - ""All By Myself""",Alexander Roth,youtube.com/watch?v=jDovGpLwkhQ&list=PLZEl0b5BNrnGDSDKIuWHRIlIGHF6oZSPw&index=31,EKAS,energizing
31,"Live From Daryl's House - ""I Love Music""",Alexander Roth,youtube.com/watch?v=aIROc9l_0IU&list=PLZEl0b5BNrnGDSDKIuWHRIlIGHF6oZSPw&index=32,EKAS,energizing
32,"Live From Daryl's House - ""Love Train""",Alexander Roth,youtube.com/watch?v=FSlO_g6-ZXM&list=PLZEl0b5BNrnGDSDKIuWHRIlIGHF6oZSPw&index=33,EKAS,energizing
0,Somebody That I Used to Know,Pentatonix,youtube.com/watch?v=tY33uoXvn2M&list=PLZEl0b5BNrnF76fnmOtAU40pJUfsX87h5&index=1,JMCG,energizing
1,Carol of the Bells,George Winston,youtube.com/watch?v=5j2lUDtFW3I&list=PLZEl0b5BNrnF76fnmOtAU40pJUfsX87h5&index=2,JMCG,energizing
2,Royal Choral Society: 'Hallelujah Chorus' from Handel's Messiah,RoyalChoralSoc,youtube.com/watch?v=IUZEtVbJT5c&list=PLZEl0b5BNrnF76fnmOtAU40pJUfsX87h5&index=3,JMCG,energizing
